estado,data,cases,daily cases,deaths,daily deaths
AC,2020-07-01,13715,462,370,5
AC,2020-07-02,14048,333,378,8
AC,2020-07-03,14112,64,387,9
AC,2020-07-04,14487,375,391,4
AC,2020-07-05,14622,135,391,0
AC,2020-07-06,14688,66,394,3
AC,2020-07-07,14941,253,399,5
AC,2020-07-08,15167,226,404,5
AC,2020-07-09,15465,298,411,7
AC,2020-07-10,15768,303,417,6
AC,2020-07-11,16080,312,419,2
AC,2020-07-12,16190,110,426,7
AC,2020-07-13,16260,70,430,4
AC,2020-07-14,16479,219,436,6
AC,2020-07-15,16672,193,446,10
AC,2020-07-16,16865,193,447,1
AC,2020-07-17,16965,100,452,5
AC,2020-07-18,17202,237,457,5
AC,2020-07-19,17295,93,460,3
AC,2020-07-20,17462,167,465,5
AC,2020-07-21,17700,238,469,4
AC,2020-07-22,17979,279,470,1
AC,2020-07-23,18157,178,474,4
AC,2020-07-24,18393,236,480,6
AC,2020-07-25,18657,264,483,3
AC,2020-07-26,18745,88,486,3
AC,2020-07-27,18783,38,493,7
AC,2020-07-28,19132,349,500,7
AC,2020-07-29,19366,234,510,10
AC,2020-07-30,19573,207,521,11
AC,2020-07-31,19625,52,531,10
AC,2020-08-01,19930,305,535,4
AC,2020-08-02,19966,36,537,2
AC,2020-08-03,20339,373,539,2
AC,2020-08-04,20708,369,545,6
AC,2020-08-05,21033,325,547,2
AC,2020-08-06,21263,230,552,5
AC,2020-08-07,21376,113,556,4
AC,2020-08-08,21498,122,559,3
AC,2020-08-09,21587,89,561,2
AC,2020-08-10,21619,32,562,1
AC,2020-08-11,21757,138,565,3
AC,2020-08-12,21993,236,569,4
AC,2020-08-13,22242,249,574,5
AC,2020-08-14,22435,193,576,2
AC,2020-08-15,22516,81,576,0
AC,2020-08-16,22548,32,576,0
AC,2020-08-17,22605,57,582,6
AC,2020-08-18,22933,328,590,8
AC,2020-08-19,23146,213,591,1
AC,2020-08-20,23322,176,595,4
AC,2020-08-21,23337,15,598,3
AC,2020-08-22,23665,328,598,0
AC,2020-08-23,23719,54,600,2
AC,2020-08-24,23729,10,604,4
AC,2020-08-25,23936,207,607,3
AC,2020-08-26,24119,183,607,0
AC,2020-08-27,24269,150,607,0
AC,2020-08-28,24462,193,608,1
AC,2020-08-29,24601,139,608,0
AC,2020-08-30,24638,37,609,1
AC,2020-08-31,24647,9,612,3
AC,2020-09-01,24840,193,616,4
AC,2020-09-02,25027,187,618,2
AC,2020-09-03,25135,108,622,4
AC,2020-09-04,25249,114,623,1
AC,2020-09-05,25408,159,624,1
AC,2020-09-06,25443,35,624,0
AC,2020-09-07,25469,26,624,0
AC,2020-09-08,25494,25,630,6
AC,2020-09-09,25668,174,631,1
AC,2020-09-10,25877,209,635,4
AC,2020-09-11,26004,127,636,1
AC,2020-09-12,26148,144,637,1
AC,2020-09-13,26166,18,640,3
AC,2020-09-14,26176,10,640,0
AC,2020-09-15,26287,111,642,2
AC,2020-09-16,26463,176,643,1
AC,2020-09-17,26716,253,646,3
AC,2020-09-18,26942,226,647,1
AC,2020-09-19,27061,119,648,1
AC,2020-09-20,27079,18,649,1
AC,2020-09-21,27106,27,649,0
AC,2020-09-22,27246,140,651,2
AC,2020-09-23,27397,151,652,1
AC,2020-09-24,27556,159,653,1
AC,2020-09-25,27710,154,654,1
AC,2020-09-26,27859,149,656,2
AC,2020-09-27,27874,15,657,1
AC,2020-09-28,27885,11,657,0
AC,2020-09-29,28030,145,657,0
AC,2020-09-30,28222,192,659,2
AC,2020-10-01,28409,187,661,2
AC,2020-10-02,28555,146,664,3
AC,2020-10-03,28662,107,667,3
AC,2020-10-04,28672,10,667,0
AC,2020-10-05,28687,15,667,0
AC,2020-10-06,28805,118,668,1
AC,2020-10-07,28818,13,668,0
AC,2020-10-08,28834,16,669,1
AC,2020-10-09,29017,183,674,5
AC,2020-10-10,29031,14,674,0
AC,2020-10-11,29050,19,674,0
AC,2020-10-12,29063,13,675,1
AC,2020-10-13,29272,209,675,0
AC,2020-10-14,29301,29,676,1
AC,2020-10-15,29406,105,677,1
AC,2020-10-16,29598,192,679,2
AC,2020-10-17,29693,95,679,0
AC,2020-10-18,29718,25,679,0
AC,2020-10-19,29765,47,679,0
AC,2020-10-20,29865,100,682,3
AC,2020-10-21,29925,60,682,0
AC,2020-10-22,30028,103,685,3
AC,2020-10-23,30121,93,686,1
AC,2020-10-24,30217,96,686,0
AC,2020-10-25,30304,87,687,1
AC,2020-10-26,30317,13,689,2
AC,2020-10-27,30380,63,690,1
AC,2020-10-28,30545,165,691,1
AC,2020-10-29,30638,93,692,1
AC,2020-10-30,30758,120,693,1
AC,2020-10-31,30796,38,693,0
AC,2020-11-01,30951,155,693,0
AC,2020-11-02,30954,3,693,0
AC,2020-11-03,30962,8,695,2
AC,2020-11-04,31218,256,696,1
AC,2020-11-05,31248,30,697,1
AC,2020-11-06,31326,78,697,0
AC,2020-11-07,31575,249,699,2
AC,2020-11-08,31707,132,699,0
AC,2020-11-09,31788,81,701,2
AC,2020-11-10,31926,138,704,3
AC,2020-11-11,32113,187,705,1
AC,2020-11-12,32515,402,707,2
AC,2020-11-13,32661,146,707,0
AC,2020-11-14,32991,330,708,1
AC,2020-11-15,33156,165,708,0
AC,2020-11-16,33295,139,708,0
AC,2020-11-17,33475,180,709,1
AC,2020-11-18,33725,250,709,0
AC,2020-11-19,33976,251,710,1
AC,2020-11-20,34246,270,711,1
AC,2020-11-21,34435,189,713,2
AC,2020-11-22,34626,191,713,0
AC,2020-11-23,34849,223,714,1
AC,2020-11-24,35053,204,715,1
AC,2020-11-25,35188,135,721,6
AC,2020-11-26,35304,116,722,1
AC,2020-11-27,35756,452,722,0
AC,2020-11-28,35920,164,723,1
AC,2020-11-29,36080,160,723,0
AC,2020-11-30,36259,179,723,0
AC,2020-12-01,36563,304,726,3
AC,2020-12-02,36746,183,727,1
AC,2020-12-03,36899,153,730,3
AC,2020-12-04,37152,253,731,1
AC,2020-12-05,37277,125,732,1
AC,2020-12-06,37321,44,732,0
AC,2020-12-07,37428,107,736,4
AC,2020-12-08,37556,128,737,1
AC,2020-12-09,37672,116,742,5
AC,2020-12-10,37902,230,744,2
AC,2020-12-11,38150,248,747,3
AC,2020-12-12,38363,213,749,2
AC,2020-12-13,38412,49,750,1
AC,2020-12-14,38628,216,753,3
AC,2020-12-15,38712,84,755,2
AC,2020-12-16,38938,226,756,1
AC,2020-12-17,39166,228,756,0
AC,2020-12-18,39341,175,757,1
AC,2020-12-19,39869,528,758,1
AC,2020-12-20,39996,127,765,7
AC,2020-12-21,40249,253,767,2
AC,2020-12-22,40314,65,769,2
AC,2020-12-23,40399,85,776,7
AC,2020-12-24,40638,239,779,3
AC,2020-12-25,40723,85,780,1
AC,2020-12-26,40736,13,780,0
AC,2020-12-27,40900,164,785,5
AC,2020-12-28,41010,110,789,4
AC,2020-12-29,41232,222,791,2
AC,2020-12-30,41355,123,793,2
AC,2020-12-31,41620,265,795,2
AC,2021-01-01,41689,69,796,1
AC,2021-01-02,41941,252,798,2
AC,2021-01-03,42046,105,802,4
AC,2021-01-04,42117,71,806,4
AC,2021-01-05,42170,53,808,2
AC,2021-01-06,42378,208,814,6
AC,2021-01-07,42478,100,821,7
AC,2021-01-08,42814,336,823,2
AC,2021-01-09,42908,94,823,0
AC,2021-01-10,43127,219,825,2
AC,2021-01-11,43346,219,826,1
AC,2021-01-12,43432,86,827,1
AC,2021-01-13,43785,353,829,2
AC,2021-01-14,44068,283,832,3
AC,2021-01-15,44156,88,835,3
AC,2021-01-16,44621,465,835,0
AC,2021-01-17,44767,146,836,1
AC,2021-01-18,44775,8,837,1
AC,2021-01-19,45208,433,839,2
AC,2021-01-20,45429,221,840,1
AC,2021-01-21,45729,300,844,4
AC,2021-01-22,45987,258,846,2
AC,2021-01-23,46239,252,848,2
AC,2021-01-24,46429,190,850,2
AC,2021-01-25,46539,110,854,4
AC,2021-01-26,46774,235,856,2
AC,2021-01-27,47119,345,858,2
AC,2021-01-28,47461,342,860,2
AC,2021-01-29,47936,475,861,1
AC,2021-01-30,48347,411,864,3
AC,2021-01-31,48467,120,867,3
AC,2021-02-01,48820,353,873,6
AC,2021-02-02,49049,229,876,3
AC,2021-02-03,49547,498,879,3
AC,2021-02-04,49944,397,882,3
AC,2021-02-05,50122,178,884,2
AC,2021-02-06,50454,332,886,2
AC,2021-02-07,50546,92,888,2
AC,2021-02-08,50694,148,893,5
AC,2021-02-09,51269,575,900,7
AC,2021-02-10,51679,410,902,2
AC,2021-02-11,52172,493,907,5
AC,2021-02-12,52548,376,910,3
AC,2021-02-13,52920,372,917,7
AC,2021-02-14,53027,107,921,4
AC,2021-02-15,53455,428,931,10
AC,2021-02-16,53590,135,932,1
AC,2021-02-17,53892,302,940,8
AC,2021-02-18,54130,238,948,8
AC,2021-02-19,54562,432,951,3
AL,2020-02-25,0,0,0,0
AL,2020-02-26,0,0,0,0
AL,2020-02-27,0,0,0,0
AL,2020-02-28,0,0,0,0
AL,2020-02-29,0,0,0,0
AL,2020-03-01,0,0,0,0
AL,2020-03-02,0,0,0,0
AL,2020-03-03,0,0,0,0
AL,2020-03-04,0,0,0,0
AL,2020-03-05,0,0,0,0
AL,2020-03-06,0,0,0,0
AL,2020-03-07,0,0,0,0
AL,2020-03-08,0,0,0,0
AL,2020-03-09,0,0,0,0
AL,2020-03-10,0,0,0,0
AL,2020-03-11,0,0,0,0
AL,2020-03-12,0,0,0,0
AL,2020-03-13,0,0,0,0
AL,2020-03-14,0,0,0,0
AL,2020-03-15,0,0,0,0
AL,2020-03-16,0,0,0,0
AL,2020-03-17,0,0,0,0
AL,2020-03-18,0,0,0,0
AL,2020-03-19,2,1,0,0
AL,2020-03-20,2,0,0,0
AL,2020-03-21,3,1,0,0
AL,2020-03-22,3,0,0,0
AL,2020-03-23,3,0,0,0
AL,2020-03-24,4,1,0,0
AL,2020-03-25,5,1,0,0
AL,2020-03-26,5,0,0,0
AL,2020-03-27,5,0,0,0
AL,2020-03-28,14,8,0,0
AL,2020-03-29,17,3,0,0
AL,2020-03-30,17,0,0,0
AL,2020-03-31,18,1,1,1
AL,2020-04-01,18,0,1,0
AL,2020-04-02,18,0,1,0
AL,2020-04-03,22,4,2,1
AL,2020-04-04,23,0,2,0
AL,2020-04-05,28,5,2,0
AL,2020-04-06,31,3,2,0
AL,2020-04-07,32,1,2,0
AL,2020-04-08,37,5,2,0
AL,2020-04-09,37,0,3,0
AL,2020-04-10,45,8,3,0
AL,2020-04-11,48,3,3,0
AL,2020-04-12,48,0,3,0
AL,2020-04-13,50,2,3,0
AL,2020-04-14,72,22,4,1
AL,2020-04-15,82,10,5,1
AL,2020-04-16,89,7,5,0
AL,2020-04-17,110,21,7,2
AL,2020-04-18,132,22,8,1
AL,2020-04-19,159,27,15,6
AL,2020-04-20,171,12,18,3
AL,2020-04-21,210,39,19,1
AL,2020-04-22,243,33,20,1
AL,2020-04-23,324,81,22,2
AL,2020-04-24,413,89,27,5
AL,2020-04-25,501,88,29,2
AL,2020-04-26,557,55,32,3
AL,2020-04-27,643,86,34,2
AL,2020-04-28,777,134,36,2
AL,2020-04-29,957,180,41,5
AL,2020-04-30,1044,87,47,6
AL,2020-05-01,1226,181,53,6
AL,2020-05-02,1372,146,58,5
AL,2020-05-03,1441,69,64,6
AL,2020-05-04,1538,97,72,8
AL,2020-05-05,1606,68,80,8
AL,2020-05-06,1703,97,89,9
AL,2020-05-07,1867,164,98,9
AL,2020-05-08,2033,166,108,10
AL,2020-05-09,2172,139,114,6
AL,2020-05-10,2258,86,126,12
AL,2020-05-11,2343,85,138,12
AL,2020-05-12,2580,237,150,12
AL,2020-05-13,2761,181,164,14
AL,2020-05-14,2972,211,177,13
AL,2020-05-15,3212,240,187,10
AL,2020-05-16,3593,381,199,12
AL,2020-05-17,3816,223,210,11
AL,2020-05-18,4031,215,221,11
AL,2020-05-19,4316,285,231,10
AL,2020-05-20,4437,121,251,20
AL,2020-05-21,4916,479,262,11
AL,2020-05-22,5302,386,280,18
AL,2020-05-23,5630,328,301,21
AL,2020-05-24,6214,584,316,15
AL,2020-05-25,6682,468,337,21
AL,2020-05-26,7058,376,354,17
AL,2020-05-27,7580,522,368,14
AL,2020-05-28,8055,475,385,17
AL,2020-05-29,8618,563,406,21
AL,2020-05-30,9223,605,424,18
AL,2020-05-31,10288,1065,443,19
AL,2020-06-01,10837,549,461,18
AL,2020-06-02,11559,722,482,21
AL,2020-06-03,12407,848,506,24
AL,2020-06-04,13097,690,531,25
AL,2020-06-05,13937,840,557,26
AL,2020-06-06,14818,881,582,25
AL,2020-06-07,15706,888,601,19
AL,2020-06-08,15706,0,601,0
AL,2020-06-09,17193,1487,640,39
AL,2020-06-10,18176,983,660,20
AL,2020-06-11,19200,1024,681,21
AL,2020-06-12,20031,831,701,20
AL,2020-06-13,20887,856,723,22
AL,2020-06-14,22199,1312,744,21
AL,2020-06-15,22962,763,768,24
AL,2020-06-16,23632,670,793,25
AL,2020-06-17,24867,1235,811,18
AL,2020-06-18,25633,766,831,20
AL,2020-06-19,26906,1273,848,17
AL,2020-06-20,27698,792,866,18
AL,2020-06-21,28657,959,884,18
AL,2020-06-22,29395,738,903,19
AL,2020-06-23,30248,853,920,17
AL,2020-06-24,31230,982,938,18
AL,2020-06-25,32065,835,958,20
AL,2020-06-26,32864,799,975,17
AL,2020-06-27,33521,657,993,18
AL,2020-06-28,34312,791,1012,19
AL,2020-06-29,35117,805,1032,20
AL,2020-06-30,35962,845,1052,20
AL,2020-07-01,36819,857,1072,20
AL,2020-07-02,37328,509,1091,19
AL,2020-07-03,38404,1076,1113,22
AL,2020-07-04,39255,851,1134,21
AL,2020-07-05,39935,680,1153,19
AL,2020-07-06,40569,634,1172,19
AL,2020-07-07,41524,955,1192,20
AL,2020-07-08,42322,798,1213,21
AL,2020-07-09,43191,869,1230,17
AL,2020-07-10,43959,768,1246,16
AL,2020-07-11,44633,674,1264,18
AL,2020-07-12,45330,697,1281,17
AL,2020-07-13,46296,966,1297,16
AL,2020-07-14,47005,709,1314,17
AL,2020-07-15,47864,859,1331,17
AL,2020-07-16,48734,870,1348,17
AL,2020-07-17,49253,519,1365,17
AL,2020-07-18,49583,330,1381,16
AL,2020-07-19,50078,495,1397,16
AL,2020-07-20,50307,229,1413,16
AL,2020-07-21,50951,644,1428,15
AL,2020-07-22,51680,729,1443,15
AL,2020-07-23,52529,849,1457,14
AL,2020-07-24,53713,1184,1471,14
AL,2020-07-25,54730,1017,1486,15
AL,2020-07-26,55376,646,1500,14
AL,2020-07-27,56204,828,1514,14
AL,2020-07-28,57142,938,1527,13
AL,2020-07-29,58124,982,1540,13
AL,2020-07-30,58979,855,1554,14
AL,2020-07-31,59725,746,1567,13
AL,2020-08-01,60992,1267,1581,14
AL,2020-08-02,62240,1248,1594,13
AL,2020-08-03,62778,538,1607,13
AL,2020-08-04,63351,573,1621,14
AL,2020-08-05,64194,843,1633,12
AL,2020-08-06,65093,899,1643,10
AL,2020-08-07,65916,823,1654,11
AL,2020-08-08,66748,832,1665,11
AL,2020-08-09,67613,865,1677,12
AL,2020-08-10,68237,624,1688,11
AL,2020-08-11,68935,698,1700,12
AL,2020-08-12,69751,816,1711,11
AL,2020-08-13,70629,878,1721,10
AL,2020-08-14,71232,603,1732,11
AL,2020-08-15,72076,844,1742,10
AL,2020-08-16,72734,658,1753,11
AL,2020-08-17,72938,204,1763,10
AL,2020-08-18,73701,763,1774,11
AL,2020-08-19,74140,439,1784,10
AL,2020-08-20,74622,482,1793,9
AL,2020-08-21,74839,217,1802,9
AL,2020-08-22,75470,631,1810,8
AL,2020-08-23,75857,387,1818,8
AL,2020-08-24,76495,638,1827,9
AL,2020-08-25,76894,399,1836,9
AL,2020-08-26,77317,423,1844,8
AL,2020-08-27,77755,438,1853,9
AL,2020-08-28,78174,419,1861,8
AL,2020-08-29,78483,309,1870,9
AL,2020-08-30,78637,154,1878,8
AL,2020-08-31,78804,167,1887,9
AL,2020-09-01,79258,454,1895,8
AL,2020-09-02,79550,292,1902,7
AL,2020-09-03,79797,247,1910,8
AL,2020-09-04,80103,306,1917,7
AL,2020-09-05,80462,359,1924,7
AL,2020-09-06,80717,255,1930,6
AL,2020-09-07,80786,69,1936,6
AL,2020-09-08,80866,80,1943,7
AL,2020-09-09,81092,226,1949,6
AL,2020-09-10,81330,238,1957,8
AL,2020-09-11,81440,110,1965,8
AL,2020-09-12,82028,588,1972,7
AL,2020-09-13,82230,202,1979,7
AL,2020-09-14,82332,102,1985,6
AL,2020-09-15,82595,263,1991,6
AL,2020-09-16,82983,388,1996,5
AL,2020-09-17,83035,52,2002,6
AL,2020-09-18,83298,263,2008,6
AL,2020-09-19,83950,652,2014,6
AL,2020-09-20,84508,558,2019,5
AL,2020-09-21,84720,212,2024,5
AL,2020-09-22,85008,288,2029,5
AL,2020-09-23,85559,551,2034,5
AL,2020-09-24,85753,194,2040,6
AL,2020-09-25,85937,184,2046,6
AL,2020-09-26,86124,187,2052,6
AL,2020-09-27,86294,170,2057,5
AL,2020-09-28,86393,99,2062,5
AL,2020-09-29,86549,156,2067,5
AL,2020-09-30,86879,330,2072,5
AL,2020-10-01,87504,625,2078,6
AL,2020-10-02,87750,246,2085,7
AL,2020-10-03,87928,178,2091,6
AL,2020-10-04,88098,170,2097,6
AL,2020-10-05,88135,37,2103,6
AL,2020-10-06,88283,148,2109,6
AL,2020-10-07,88426,143,2115,6
AL,2020-10-08,88538,112,2121,6
AL,2020-10-09,88653,115,2126,5
AL,2020-10-10,88790,137,2132,6
AL,2020-10-11,88826,36,2138,6
AL,2020-10-12,88880,54,2144,6
AL,2020-10-13,88954,74,2151,7
AL,2020-10-14,89082,128,2157,6
AL,2020-10-15,89192,110,2162,5
AL,2020-10-16,89278,86,2167,5
AL,2020-10-17,89365,87,2172,5
AL,2020-10-18,89493,128,2177,5
AL,2020-10-19,89528,35,2182,5
AL,2020-10-20,89644,116,2187,5
AL,2020-10-21,89746,102,2192,5
AL,2020-10-22,89847,101,2196,4
AL,2020-10-23,89994,147,2201,5
AL,2020-10-24,90124,130,2206,5
AL,2020-10-25,90177,53,2211,5
AL,2020-10-26,90254,77,2216,5
AL,2020-10-27,90384,130,2221,5
AL,2020-10-28,90497,113,2226,5
AL,2020-10-29,90564,67,2230,4
AL,2020-10-30,90671,107,2234,4
AL,2020-10-31,90789,118,2238,4
AL,2020-11-01,90820,31,2242,4
AL,2020-11-02,90918,98,2246,4
AL,2020-11-03,91016,98,2250,4
AL,2020-11-04,91142,126,2254,4
AL,2020-11-05,91270,128,2258,4
AL,2020-11-06,91407,137,2262,4
AL,2020-11-07,91603,196,2266,4
AL,2020-11-08,91718,115,2270,4
AL,2020-11-09,91848,130,2274,4
AL,2020-11-10,91939,91,2278,4
AL,2020-11-11,92040,101,2282,4
AL,2020-11-12,92166,126,2285,3
AL,2020-11-13,92328,162,2288,3
AL,2020-11-14,92480,152,2291,3
AL,2020-11-15,92596,116,2295,4
AL,2020-11-16,92642,46,2298,3
AL,2020-11-17,92815,173,2301,3
AL,2020-11-18,92951,136,2304,3
AL,2020-11-19,93123,172,2308,4
AL,2020-11-20,93245,122,2311,3
AL,2020-11-21,93359,114,2314,3
AL,2020-11-22,93440,81,2317,3
AL,2020-11-23,93569,129,2321,4
AL,2020-11-24,93708,139,2324,3
AL,2020-11-25,93915,207,2326,2
AL,2020-11-26,94060,145,2329,3
AL,2020-11-27,94392,332,2331,2
AL,2020-11-28,94613,221,2334,3
AL,2020-11-29,94859,246,2336,2
AL,2020-11-30,94984,125,2339,3
AL,2020-12-01,95152,168,2341,2
AL,2020-12-02,95388,236,2344,3
AL,2020-12-03,95643,255,2346,2
AL,2020-12-04,95898,255,2349,3
AL,2020-12-05,96300,402,2351,2
AL,2020-12-06,96632,332,2354,3
AL,2020-12-07,96784,152,2357,3
AL,2020-12-08,96973,189,2360,3
AL,2020-12-09,97248,275,2363,3
AL,2020-12-10,97562,314,2366,3
AL,2020-12-11,97948,386,2369,3
AL,2020-12-12,98177,229,2372,3
AL,2020-12-13,98612,435,2376,4
AL,2020-12-14,98928,316,2380,4
AL,2020-12-15,99238,310,2384,4
AL,2020-12-16,100011,773,2389,5
AL,2020-12-17,100307,296,2394,5
AL,2020-12-18,100619,312,2399,5
AL,2020-12-19,100978,359,2404,5
AL,2020-12-20,101285,307,2410,6
AL,2020-12-21,101443,158,2417,7
AL,2020-12-22,101745,302,2425,8
AL,2020-12-23,102178,433,2433,8
AL,2020-12-24,102569,391,2440,7
AL,2020-12-25,102827,258,2447,7
AL,2020-12-26,103125,298,2454,7
AL,2020-12-27,103551,426,2461,7
AL,2020-12-28,103748,197,2468,7
AL,2020-12-29,104119,371,2475,7
AL,2020-12-30,104499,380,2482,7
AL,2020-12-31,104818,319,2489,7
AL,2021-01-01,105091,273,2496,7
AL,2021-01-02,105361,270,2502,6
AL,2021-01-03,105714,353,2509,7
AL,2021-01-04,106032,318,2515,6
AL,2021-01-05,106410,378,2521,6
AL,2021-01-06,106881,471,2529,8
AL,2021-01-07,107279,398,2537,8
AL,2021-01-08,107628,349,2545,8
AL,2021-01-09,108109,481,2553,8
AL,2021-01-10,108542,433,2561,8
AL,2021-01-11,108820,278,2569,8
AL,2021-01-12,109319,499,2577,8
AL,2021-01-13,109720,401,2585,8
AL,2021-01-14,110112,392,2593,8
AL,2021-01-15,110572,460,2602,9
AL,2021-01-16,110968,396,2611,9
AL,2021-01-17,111443,475,2620,9
AL,2021-01-18,111724,281,2629,9
AL,2021-01-19,112097,373,2638,9
AL,2021-01-20,112476,379,2647,9
AL,2021-01-21,112854,378,2656,9
AL,2021-01-22,113205,351,2665,9
AL,2021-01-23,113662,457,2674,9
AL,2021-01-24,114169,507,2683,9
AL,2021-01-25,114836,667,2692,9
AL,2021-01-26,115383,547,2701,9
AL,2021-01-27,115946,563,2710,9
AL,2021-01-28,116379,433,2719,9
AL,2021-01-29,116773,394,2728,9
AL,2021-01-30,117287,514,2737,9
AL,2021-01-31,117768,481,2746,9
AL,2021-02-01,118220,452,2754,8
AL,2021-02-02,118741,521,2763,9
AL,2021-02-03,119088,347,2771,8
AL,2021-02-04,119458,370,2780,9
AL,2021-02-05,120028,570,2788,8
AL,2021-02-06,120455,427,2797,9
AL,2021-02-07,120694,239,2805,8
AL,2021-02-08,121145,451,2814,9
AL,2021-02-09,121603,458,2822,8
AL,2021-02-10,122025,422,2831,9
AL,2021-02-11,122491,466,2839,8
AL,2021-02-12,122999,508,2848,9
AL,2021-02-13,123625,626,2856,8
AL,2021-02-14,124295,670,2865,9
AL,2021-02-15,125044,749,2873,8
AL,2021-02-16,125676,632,2883,10
AL,2021-02-17,126326,650,2893,10
AL,2021-02-18,126952,626,2903,10
AL,2021-02-19,127341,389,2913,10
AM,2020-02-25,0,0,0,0
AM,2020-02-26,0,0,0,0
AM,2020-02-27,0,0,0,0
AM,2020-02-28,0,0,0,0
AM,2020-02-29,0,0,0,0
AM,2020-03-01,0,0,0,0
